#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_100_length_3332_cov_25.206286	178	1208	Escherichia_coli_emrE	205-1244/1244	..======/======	4/13	82.72	95.87	card	Z11877.1:1-1245
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_10_length_133493_cov_22.432193	7903	8580	kdpE	1-678/678	===============	0/0	100.00	97.20	card	NC_000913.3:721056-721734
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_11_length_132577_cov_22.127443	46817	48049	mdfA	1-1233/1233	===============	0/0	100.00	97.00	card	JQ394987:1-1234
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_13_length_121733_cov_28.255280	110979	111642	acrS	1-664/664	===============	0/0	100.00	99.40	card	U00096:3412803-3413466
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_13_length_121733_cov_28.255280	112040	113198	acrE	1-1159/1159	===============	0/0	100.00	99.14	card	U00096:3413864-3415022
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_13_length_121733_cov_28.255280	113209	116359	acrF	1-3106/3106	========/======	2/45	100.00	97.05	card	U00096:3415033-3418138
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_14_length_119115_cov_19.480917	54655	55378	baeR	1-724/724	===============	0/0	100.00	97.38	card	NC_007779:2166413-2167136
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_14_length_119115_cov_19.480917	55374	56778	baeS	1-1405/1405	===============	0/0	100.00	98.01	card	AP009048:2165013-2166417
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_14_length_119115_cov_19.480917	58190	61268	mdtC	1-3079/3079	===============	0/0	100.00	97.60	card	U00096:2158386-2161464
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_14_length_119115_cov_19.480917	61268	64391	mdtB	1-3124/3124	===============	0/0	100.00	97.50	card	U00096:2155263-2158386
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_14_length_119115_cov_19.480917	64390	65638	mdtA	1-1249/1249	===============	0/0	100.00	98.08	card	U00096:2154016-2155264
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_16_length_113856_cov_20.568475	19714	20941	mdtG	1-1228/1228	===============	0/0	100.00	99.02	card	NC_007779:1115841-1117068
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_16_length_113856_cov_20.568475	29571	30780	mdtH	1-1210/1210	===============	0/0	100.00	98.59	card	U00096:1124118-1125327
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_16_length_113856_cov_20.568475	75958	79404	mfd	1-3447/3447	===============	0/0	100.00	98.14	card	NC_000913.3:1170518-1173965
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_18_length_105725_cov_20.902139	64715	66463	msbA	1-1749/1749	===============	0/0	100.00	98.69	card	NC_000913.3:966621-968370
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_1_length_325692_cov_28.438749	30638	31871	mdtM	1-1234/1234	===============	0/0	100.00	96.11	card	U00096:4567287-4568520
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_1_length_325692_cov_28.438749	91475	92344	Escherichia_coli_rob	1-870/870	===============	0/0	100.00	98.97	card	NC_000913.3:4634441-4635311
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_1_length_325692_cov_28.438749	98687	100347	YojI	1-1644/1644	========/======	2/19	99.94	96.99	card	NC_000913.3:1-1645
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034223/contigs.fasta	NODE_1_length_325692_cov_28.438749	187655	188599	leuO	1-945/945	===============	0/0	100.00	98.94	card	NC_000913.3:84368-85313
