#FILE	NUM_FOUND	IlpA	aslA	astA	cesAB	cesD	cesD2	cesF	cesL	cesT	cheB	cheW	cheY	cheZ	chuU	chuV	chuW	csgA	csgB	csgC	csgD	csgE	csgF	csgG	eae	east1	entA	entB	entC	entD	entE	entF	entS	escC	escD	escE	escF	escG	escI	escJ	escL	escN	escO	escP	escR	escS	escT	escU	escV	espA	espB	espD	espF	espG	espH	espJ	espK	espL1	espL2	espL4	espM1	espM2	espN	espP	espR1	espR3	espR4	espW	espX1	espX2	espX4	espX5	espX6	espX7/nleL	espY1	espY2	espY3	espY4	etgA	fcl	fdeC	fepA	fepB	fepC	fepD	fepG	fes	fimA	fimB	fimC	fimD	fimE	fimF	fimG	fimH	fimI	flgC	flgD	flgG	flgH	flgI	flhA	flhC	fliA	fliG	fliI	fliM	fliP	fliQ	galU	gmhA/lpcA	hcp-2	hlyA	hlyB	hlyC	hlyD	htpB	kdsA	lpfA	lpfC	luxS	map	motA	nleA/espI	nleB1	nleB2	nleC	nleD	nleE	nleF	nleG7'	nleH1	nleH2	ompA	ospG	paa	sepD	sepL	sepQ/escQ	sepZ/espZ	shuA	shuS	shuT	shuX	shuY	spaQ	stcE	stx2A	stx2B	tir	toxB	vipB/mglB	yagV/ecpE	yagW/ecpD	yagX/ecpC	yagY/ecpB	yagZ/ecpA	ykgK/ecpR
/home/ndono_school/Downloads/bioinformatics/AMR/clin/abricate/virulence_abricate/SRR1980975.txt	152	87.41	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	97.52	90.36	99.49	87.91	.	100.00	100.00	100.00	99.78	97.25	100.00	98.48	99.04	100.00	84.86	82.91	100.00	100.00	100.00	100.00	100.00	99.25	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	88.77	88.77	100.00	100.00	100.00	100.00	100.00	100.00	100.00	98.01	100.00	100.00	100.00	100.00	75.05	99.76	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	96.36;91.54	100.00	100.00	100.00	100.00	100.00	97.53	80.03	98.93	80.70	96.19	99.13	95.19	94.47	99.50	92.79	99.50	98.40	92.96	95.38	75.56	96.15	100.00	100.00	100.00	100.00	98.79	98.60	100.00	93.40	82.66	100.00	98.42	100.00	100.00	100.00	84.39;100.00	100.00	100.00	100.00	99.85	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.68	79.31	100.00	.	71.48;71.48	99.64	100.00	77.21	100.00	100.00	100.00	100.00	100.00	100.00
/home/ndono_school/Downloads/bioinformatics/AMR/clin/abricate/virulence_abricate/SRR1980983.txt	15	.	.	.	.	73.46	.	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	82.91	.	.	.	.	.	.	.	.	.	.	.	.	.	79.76	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	99.67	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	92.96	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	84.19	.	.	75.64	.	.	.	.	.	.	70.00	.	.	.	.	74.74	.	.	87.14	96.43	85.62
/home/ndono_school/Downloads/bioinformatics/AMR/clin/abricate/virulence_abricate/SRR1980990.txt	151	87.41	100.00	98.29	100.00	100.00	100.00	100.00	100.00	100.00	97.52	90.36	99.49	87.91	.	100.00	100.00	100.00	99.78	97.25	100.00	98.48	99.04	100.00	84.86	82.91	100.00	100.00	100.00	100.00	100.00	99.25	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	79.79	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	75.05	99.76	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	96.36;91.54	100.00	100.00	100.00	100.00	100.00	97.53	80.03	98.93	80.70	96.19	99.13	95.19	94.47	.	92.79	99.50	98.40	92.96	95.38	75.56	96.15	100.00	100.00	100.00	100.00	98.79	98.60	100.00	93.40	82.66	100.00	98.42	100.00	100.00	100.00	84.39	100.00	100.00	100.00	.	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.68	79.31	100.00	78.96	85.93	99.64	100.00	77.21	100.00	100.00	100.00	100.00	100.00	100.00
/home/ndono_school/Downloads/bioinformatics/AMR/clin/abricate/virulence_abricate/SRR2034223.txt	153	87.41	100.00	98.29	100.00	100.00	100.00	100.00	100.00	100.00	97.52	90.36	99.49	87.91	.	100.00	100.00	100.00	99.78	97.25	100.00	98.48	99.04	100.00	84.86	82.91	100.00	100.00	100.00	100.00	100.00	99.25	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	79.79	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	88.77	88.77	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	75.05	99.76	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	96.36;91.54	100.00	100.00	100.00	100.00	100.00	97.53	80.03	98.93	80.70	96.19	99.13	95.19	94.47	99.50	92.79	99.50	98.40	92.96	95.38	75.56	96.15	100.00	100.00	100.00	100.00	98.79	98.60	100.00	93.40	82.66	100.00	98.42	100.00	100.00	100.00	100.00;99.50	100.00	100.00	100.00	.	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.68	79.31	100.00	.	71.48;71.48	99.64	100.00	77.21	100.00	100.00	100.00	100.00	100.00	100.00
/home/ndono_school/Downloads/bioinformatics/AMR/clin/abricate/virulence_abricate/SRR2034226.txt	153	87.41	100.00	98.29	100.00	100.00	100.00	100.00	100.00	100.00	97.52	90.36	99.49	87.91	.	100.00	100.00	100.00	99.78	97.25	100.00	98.48	99.04	100.00	84.86	82.91	100.00	100.00	100.00	100.00	100.00	99.25	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	79.79	100.00	100.00	99.85	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	86.49	86.49	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	75.05	99.76	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	96.36;91.54	100.00	100.00	100.00	100.00	100.00	97.53	80.03	98.93	80.70	96.19	99.13	95.19	94.47	99.50	92.79	99.50	98.40	92.96	95.38	75.56	96.15	100.00	100.00	100.00	100.00	98.79	98.60	100.00	93.40	82.66	100.00	98.42	100.00	100.00	100.00	99.50;100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	.	100.00	100.00	76.80	100.00	100.00	100.00	100.00	100.00	100.00	99.68	79.31	100.00	.	71.48;71.48	99.64	100.00	77.21	100.00	100.00	100.00	100.00	100.00	100.00
/home/ndono_school/Downloads/bioinformatics/AMR/clin/abricate/virulence_abricate/SRR2034230.txt	153	87.41	100.00	98.29	100.00	100.00	100.00	100.00	100.00	100.00	97.52	90.36	99.49	87.91	.	100.00	100.00	100.00	99.78	97.25	100.00	98.48	99.04	100.00	84.86	82.91	100.00	100.00	100.00	100.00	100.00	99.25	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	79.79	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	88.77	88.77	100.00	100.00	100.00	100.00	100.00	99.45	100.00	100.00	100.00	100.00	100.00	100.00	75.05	99.76	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	96.36;91.54	100.00	100.00	100.00	100.00	100.00	97.53	80.03	98.93	80.70	96.19	99.13	95.19	94.47	99.50	92.79	99.50	98.40	92.96	95.38	75.56	96.15	100.00	100.00	100.00	100.00	98.79	98.60	100.00	93.40	82.66	100.00	98.42	100.00	100.00	100.00	100.00;99.50	100.00	100.00	100.00	.	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.68	79.31	100.00	.	71.48;71.48	99.64	100.00	77.21	100.00	100.00	100.00	100.00	100.00	100.00
/home/ndono_school/Downloads/bioinformatics/AMR/clin/abricate/virulence_abricate/SRR2034235.txt	156	87.41	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	97.52	90.36	99.49	87.91	100.00	100.00	100.00	100.00	99.78	97.25	100.00	98.48	99.04	100.00	84.86	82.91	100.00	100.00	100.00	100.00	100.00	99.25	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	79.79	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	88.77	88.77	100.00	100.00	100.00	100.00	100.00	99.18	100.00	100.00	100.00	100.00	100.00	100.00	75.05	96.45	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00;91.54	100.00	100.00	100.00	100.00	100.00	97.53	80.03	98.93	80.70	96.19	99.13	95.19	94.47	99.50	92.79	99.50	98.40	92.96	95.38	75.56	96.15	100.00	100.00	100.00	100.00	98.79	98.60	100.00	93.40	82.66	100.00	98.42	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.85	100.00	100.00	100.00	99.83	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.68	79.31	100.00	86.56	71.48;71.48	100.00	100.00	77.21	100.00	100.00	100.00	100.00	100.00	100.00
/home/ndono_school/Downloads/bioinformatics/AMR/clin/abricate/virulence_abricate/SRR2034240.txt	157	87.41	100.00	98.29	100.00	100.00	100.00	100.00	100.00	100.00	97.52	90.36	99.49	87.91	100.00	100.00	100.00	100.00	99.78	97.25	100.00	98.48	99.04	100.00	84.86	82.91	100.00	100.00	100.00	100.00	100.00	99.25	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	79.79	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	86.49	86.49	100.00	100.00	100.00	100.00	100.00	99.73	100.00	100.00	100.00	100.00	100.00	100.00	75.05	99.76	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00;91.54	100.00	100.00	100.00	100.00	100.00	97.53	80.03	98.93	80.70	96.19	99.13	95.19	94.47	99.19	92.79	99.50	98.40	92.96	95.38	75.56	96.15	100.00	100.00	100.00	100.00	98.79	98.60	100.00	93.40	82.66	100.00	98.42	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.85	100.00	100.00	100.00	98.82	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.68	79.31	100.00	100.00	100.00	100.00	100.00	77.21	100.00	100.00	100.00	100.00	100.00	100.00
/home/ndono_school/Downloads/bioinformatics/AMR/clin/abricate/virulence_abricate/virulence_abricate_summary.txt	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
