ID	LENGTH	ALIGNED	UNALIGNED	VARIANT	HET	MASKED	LOWCOV
SRR1980975	5594605	5050331	471166	681	224	0	72884
SRR1980983	5594605	994079	3765214	401	0	0	835312
SRR1980990	5594605	5000629	477031	97	80	0	116865
SRR2034223	5594605	5048070	466625	79	168	0	79742
SRR2034226	5594605	5018685	488206	77	277	0	87437
SRR2034230	5594605	5044656	465067	79	213	0	84669
SRR2034235	5594605	5043378	465339	128	296	0	85592
SRR2034240	5594605	5067079	452825	109	463	0	74238
Reference	5594605	5594605	0	0	0	0	0
