#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034230/contigs.fasta	NODE_10_length_133029_cov_27.849151	39051	40517	mdtP	1-1467/1467	===============	0/0	100.00	97.89	card	AP009048:4303043-4304510
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034230/contigs.fasta	NODE_10_length_133029_cov_27.849151	40514	42565	mdtO	1-2052/2052	===============	0/0	100.00	97.90	card	AP009048:4304506-4306558
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034230/contigs.fasta	NODE_10_length_133029_cov_27.849151	42565	43596	mdtN	1-1032/1032	===============	0/0	100.00	97.77	card	AP009048:4306557-4307589
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034230/contigs.fasta	NODE_10_length_133029_cov_27.849151	75189	76833	PmrC	1-1645/1645	===============	0/0	100.00	98.91	card	AP009048:4338625-4340269
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034230/contigs.fasta	NODE_11_length_121796_cov_22.547983	36044	37276	mdfA	1-1233/1233	===============	0/0	100.00	97.00	card	JQ394987:1-1234
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034230/contigs.fasta	NODE_12_length_118478_cov_26.163152	9535	11022	tolC	1-1488/1488	===============	0/0	100.00	98.92	card	FJ768952:1-1489
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034230/contigs.fasta	NODE_12_length_118478_cov_26.163152	28170	28992	bacA	1-823/823	===============	0/0	100.00	99.51	card	U00096:3203310-3204132
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034230/contigs.fasta	NODE_12_length_118478_cov_26.163152	44357	45735	patA	1-1379/1380	===============	0/0	99.93	97.46	card	NC_000913.3:3219494-3220874
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034230/contigs.fasta	NODE_13_length_117459_cov_27.051710	113316	113979	acrS	1-664/664	===============	0/0	100.00	99.40	card	U00096:3412803-3413466
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034230/contigs.fasta	NODE_13_length_117459_cov_27.051710	114377	115535	acrE	1-1159/1159	===============	0/0	100.00	99.14	card	U00096:3413864-3415022
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034230/contigs.fasta	NODE_14_length_116221_cov_23.759973	64715	66463	msbA	1-1749/1749	===============	0/0	100.00	98.69	card	NC_000913.3:966621-968370
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034230/contigs.fasta	NODE_19_length_92221_cov_29.299449	66853	68227	cpxA	1-1375/1375	===============	0/0	100.00	100.00	card	NC_002695:4903562-4904936
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034230/contigs.fasta	NODE_19_length_92221_cov_29.299449	68223	68921	Escherichia_coli_CpxR	1-699/699	===============	0/0	100.00	98.00	card	CP015085.1:3009840-3010539
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034230/contigs.fasta	NODE_1_length_325656_cov_27.397760	137094	138038	leuO	1-945/945	===============	0/0	100.00	98.94	card	NC_000913.3:84368-85313
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034230/contigs.fasta	NODE_1_length_325656_cov_27.397760	225346	227006	YojI	1-1644/1644	========/======	2/19	99.94	96.99	card	NC_000913.3:1-1645
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034230/contigs.fasta	NODE_1_length_325656_cov_27.397760	233349	234218	Escherichia_coli_rob	1-870/870	===============	0/0	100.00	98.97	card	NC_000913.3:4634441-4635311
