#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_100_length_11617_cov_22.219772	7525	11427	espP	1-3903/3903	===============	0/0	100.00	99.97	vfdb	YP_325580
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_103_length_10445_cov_8.073238	853	10362	toxB	1-9510/9510	===============	0/0	100.00	99.99	vfdb	YP_325655
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_106_length_8535_cov_47.230542	677	2626	espX7/nleL	1-1950/1950	===============	0/0	100.00	99.90	vfdb	NP_287310
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_106_length_8535_cov_47.230542	3806	6619	espN	1-2814/2814	===============	0/0	100.00	99.89	vfdb	NP_287312
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_10_length_90604_cov_59.827585	46891	47427	lpfA	1-537/537	===============	0/0	100.00	70.20	vfdb	NP_462541
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_10_length_90604_cov_59.827585	48292	50714	lpfC	92-2466/2529	========/======	17/74	93.40	70.65	vfdb	NP_462539
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_117_length_6712_cov_44.662310	468	564	east1	21-117/117	..=============	0/0	82.91	97.94	vfdb	AHY03744
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_117_length_6712_cov_44.662310	984	1553	nleF	1-570/570	===============	0/0	100.00	100.00	vfdb	NP_287958
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_117_length_6712_cov_44.662310	1619	2530	nleH2	1-912/912	===============	0/0	100.00	100.00	vfdb	NP_287959
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_117_length_6712_cov_44.662310	4357	5682	nleA/espI	1-1326/1326	===============	0/0	100.00	100.00	vfdb	NP_287961
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_120_length_5890_cov_72.091517	4692	5450	paa	1-759/759	===============	0/0	100.00	100.00	vfdb	NP_287515
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_122_length_5559_cov_56.582485	359	937	espA	1-579/579	===============	0/0	100.00	100.00	vfdb	NP_290256
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_122_length_5559_cov_56.582485	950	2074	espD	1-1125/1125	===============	0/0	100.00	100.00	vfdb	NP_290255
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_122_length_5559_cov_56.582485	2095	3033	espB	1-939/939	===============	0/0	100.00	99.89	vfdb	NP_290254
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_122_length_5559_cov_56.582485	3040	3447	cesD2	1-408/408	===============	0/0	100.00	100.00	vfdb	NP_290253
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_122_length_5559_cov_56.582485	3483	3704	escF	1-222/222	===============	0/0	100.00	100.00	vfdb	NP_290252
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_122_length_5559_cov_56.582485	3710	3988	escG	1-279/279	===============	0/0	100.00	100.00	vfdb	NP_290251
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_122_length_5559_cov_56.582485	4073	4668	espF	1-614/747	========/====..	2/18	79.79	94.95	vfdb	NP_290250
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_140_length_3886_cov_25.453145	772	1830	espW	1-1059/1059	===============	0/0	100.00	100.00	vfdb	NP_289177
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_140_length_3886_cov_25.453145	2742	3332	espM2	1-591/591	===============	0/0	100.00	100.00	vfdb	NP_289175
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_15_length_78687_cov_36.284490	30983	33046	flhA	6-2069/2079	========/======	2/6	99.13	74.94	vfdb	YP_001006770
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_15_length_78687_cov_36.284490	34398	34969	cheZ	70-641/645	.=======/======	2/10	87.91	71.06	vfdb	YP_001006773
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_15_length_78687_cov_36.284490	35051	35438	cheY	1-388/390	===============	0/0	99.49	76.80	vfdb	YP_001006774
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_15_length_78687_cov_36.284490	35478	36502	cheB	1-1025/1050	========/======	2/2	97.52	74.27	vfdb	YP_001006775
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_15_length_78687_cov_36.284490	40871	41320	cheW	19-468/498	===============	0/0	90.36	74.44	vfdb	YP_001006779
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_15_length_78687_cov_36.284490	44251	45126	motA	13-888/888	========/======	3/4	98.42	72.10	vfdb	YP_001006782
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_15_length_78687_cov_36.284490	45283	45838	flhC	6-564/582	========/======	5/7	95.19	74.15	vfdb	YP_001006783
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_15_length_78687_cov_36.284490	68313	69002	fliA	10-699/723	========/======	6/14	94.47	74.17	vfdb	YP_001006726
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_16_length_69846_cov_49.483228	55	865	sepL	1-811/1056	============...	0/0	76.80	100.00	vfdb	NP_290257
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_16_length_69846_cov_49.483228	1008	2228	escD	1-1221/1221	===============	0/0	100.00	100.00	vfdb	NP_290258
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_16_length_69846_cov_49.483228	2892	5296	eae	1-2401/2820	========/====..	9/20	84.86	91.38	vfdb	AAC38392
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_16_length_69846_cov_49.483228	5356	5826	cesT	1-471/471	===============	0/0	100.00	100.00	vfdb	NP_290260
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_16_length_69846_cov_49.483228	5964	7634	tir	1-1677/1677	========/======	1/6	99.64	99.64	vfdb	NP_290261
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_16_length_69846_cov_49.483228	8058	8669	map	1-612/612	===============	0/0	100.00	100.00	vfdb	NP_290262
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_16_length_69846_cov_49.483228	8935	9318	cesF	1-384/384	===============	0/0	100.00	100.00	vfdb	NP_290263
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_16_length_69846_cov_49.483228	9516	10022	espH	1-507/507	===============	0/0	100.00	100.00	vfdb	NP_290264
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_16_length_69846_cov_49.483228	10053	10970	sepQ/escQ	1-918/918	===============	0/0	100.00	100.00	vfdb	NP_290265
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_16_length_69846_cov_49.483228	10933	11208	escP	1-276/276	===============	0/0	100.00	100.00	vfdb	NP_290266
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_16_length_69846_cov_49.483228	11342	11719	escO	1-378/378	===============	0/0	100.00	100.00	vfdb	NP_290267
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_16_length_69846_cov_49.483228	11722	13062	escN	1-1341/1341	===============	0/0	100.00	100.00	vfdb	NP_290268
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_16_length_69846_cov_49.483228	13046	15073	escV	1-2028/2028	===============	0/0	100.00	100.00	vfdb	NP_290269
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_16_length_69846_cov_49.483228	15070	15423	cesL	1-354/354	===============	0/0	100.00	100.00	vfdb	NP_290270
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_16_length_69846_cov_49.483228	15608	15907	sepZ/espZ	1-300/300	===============	0/0	100.00	100.00	vfdb	NP_290271
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_16_length_69846_cov_49.483228	15940	16368	escI	1-429/429	===============	0/0	100.00	100.00	vfdb	NP_290272
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_16_length_69846_cov_49.483228	16371	16943	escJ	1-573/573	===============	0/0	100.00	100.00	vfdb	NP_290273
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_16_length_69846_cov_49.483228	16949	17404	sepD	1-456/456	===============	0/0	100.00	100.00	vfdb	NP_290274
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_16_length_69846_cov_49.483228	17404	18942	escC	1-1539/1539	===============	0/0	100.00	100.00	vfdb	NP_290275
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_16_length_69846_cov_49.483228	18956	19411	cesD	1-456/456	===============	0/0	100.00	100.00	vfdb	NP_290276
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_16_length_69846_cov_49.483228	20830	21288	etgA	1-459/459	===============	0/0	100.00	100.00	vfdb	NP_290279
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_16_length_69846_cov_49.483228	21285	22322	escU	1-1038/1038	===============	0/0	100.00	100.00	vfdb	NP_290280
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_16_length_69846_cov_49.483228	22315	23091	escT	1-777/777	===============	0/0	100.00	100.00	vfdb	NP_290281
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_16_length_69846_cov_49.483228	23091	23360	escS	1-270/270	===============	0/0	100.00	100.00	vfdb	NP_290282
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_16_length_69846_cov_49.483228	23360	24013	escR	1-654/654	===============	0/0	100.00	100.00	vfdb	NP_290283
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_16_length_69846_cov_49.483228	24018	24632	escL	1-615/615	===============	0/0	100.00	100.00	vfdb	NP_290284
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_16_length_69846_cov_49.483228	25254	25577	cesAB	1-324/324	===============	0/0	100.00	100.00	vfdb	NP_290286
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_16_length_69846_cov_49.483228	25581	25799	escE	1-219/219	===============	0/0	100.00	100.00	vfdb	NP_290287
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_16_length_69846_cov_49.483228	27448	28644	espG	1-1197/1197	===============	0/0	100.00	100.00	vfdb	NP_290289
/home/ndono_school/Downloads/bioinformatics/AMR/clin/trim_assemble/SRR2034226/contigs.fasta	NODE_17_length_68092_cov_35.868939	3247	4080	csgG	1-834/834	===============	0/0	100.00	83.21	vfdb	NP_460110
